optimizer,epoch,sampled_arch,best_arch,train_acc,val_acc,test_acc,train_time,reward,loss,entropy,wall_time_sec
re,33,"(2, 2, 2, 3, 3, 3)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8981,,,3.011209
re,34,"(0, 0, 3, 1, 3, 2)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8904000000000001,,,3.0743461670000007
re,35,"(2, 1, 2, 3, 3, 0)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8941,,,3.1396787920000007
re,36,"(2, 0, 2, 3, 3, 3)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.9009,,,3.201632292
re,37,"(0, 0, 3, 1, 4, 2)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8808,,,3.2650221250000007
re,38,"(2, 3, 0, 3, 4, 2)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.9012,,,3.3267054170000003
re,39,"(2, 3, 0, 2, 4, 2)","(2, 3, 0, 2, 4, 2)",99.996,90.38,90.38,12.74846355120341,0.9037999999999999,,,3.3908721250000005
re,40,"(2, 3, 0, 2, 4, 1)","(2, 3, 0, 2, 4, 2)",99.996,90.38,90.38,12.74846355120341,0.8779,,,3.4566322499999993
re,41,"(3, 3, 0, 2, 4, 2)","(3, 3, 0, 2, 4, 2)",99.984,90.9,90.9,12.176835040251413,0.909,,,3.5209559169999993
re,42,"(2, 3, 0, 2, 4, 4)","(3, 3, 0, 2, 4, 2)",99.984,90.9,90.9,12.176835040251413,0.9003,,,3.8515492500000006
re,43,"(0, 3, 0, 2, 4, 2)","(3, 3, 0, 2, 4, 2)",99.984,90.9,90.9,12.176835040251413,0.8587,,,3.911650333
re,44,"(2, 3, 0, 2, 0, 2)","(3, 3, 0, 2, 4, 2)",99.984,90.9,90.9,12.176835040251413,0.9078,,,3.9757963750000007
re,45,"(3, 3, 0, 2, 4, 0)","(3, 3, 0, 2, 4, 2)",99.984,90.9,90.9,12.176835040251413,0.8924,,,4.040360667000001
re,46,"(2, 3, 1, 2, 0, 2)","(3, 3, 0, 2, 4, 2)",99.984,90.9,90.9,12.176835040251413,0.8943000000000001,,,4.107669541999999
re,47,"(2, 3, 0, 2, 0, 3)","(3, 3, 0, 2, 4, 2)",99.984,90.9,90.9,12.176835040251413,0.9079999999999999,,,4.173672708000001
re,48,"(3, 3, 0, 2, 4, 0)","(3, 3, 0, 2, 4, 2)",99.984,90.9,90.9,12.176835040251413,0.8924,,,4.237600082999999
re,49,"(2, 3, 0, 2, 0, 1)","(3, 3, 0, 2, 4, 2)",99.984,90.9,90.9,12.176835040251413,0.8828,,,4.299686292
re,50,"(4, 3, 0, 2, 0, 2)","(3, 3, 0, 2, 4, 2)",99.984,90.9,90.9,12.176835040251413,0.8613,,,4.364940957999999
bananas,1,"(4, 0, 3, 3, 3, 1)","(4, 0, 3, 3, 3, 1)",99.116,86.81,86.81,9.658029774824778,0.8681,,,0.058942500000000564
bananas,2,"(3, 2, 4, 0, 0, 4)","(4, 0, 3, 3, 3, 1)",99.116,86.81,86.81,9.658029774824778,0.8473999999999999,,,0.11794870900000021
bananas,3,"(2, 1, 0, 1, 1, 0)","(4, 0, 3, 3, 3, 1)",99.116,86.81,86.81,9.658029774824778,0.8401000000000001,,,0.17731104199999947
bananas,4,"(1, 4, 3, 0, 3, 0)","(4, 0, 3, 3, 3, 1)",99.116,86.81,86.81,9.658029774824778,0.8436,,,0.2361892920000006
bananas,5,"(2, 3, 0, 1, 3, 3)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.9020999999999999,,,0.29826620899999945
bananas,6,"(3, 0, 1, 1, 1, 0)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8439,,,0.48323112499999965
bananas,7,"(2, 4, 3, 3, 2, 4)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8802,,,0.5496885840000001
bananas,8,"(2, 0, 0, 4, 0, 4)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8298000000000001,,,0.6130903340000007
bananas,9,"(1, 4, 1, 2, 2, 0)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.7182,,,0.6750342499999995
bananas,10,"(2, 3, 0, 3, 4, 1)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8815999999999999,,,0.7369748749999996
bananas,11,"(4, 4, 4, 0, 4, 3)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.7447,,,7.611138334000001
bananas,12,"(3, 2, 3, 3, 4, 2)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8968,,,7.6348720839999995
bananas,13,"(3, 2, 2, 0, 4, 2)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8931,,,7.658417459000001
bananas,14,"(3, 2, 3, 2, 4, 2)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.9005,,,7.682651958999999
bananas,15,"(2, 3, 1, 0, 3, 3)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8819,,,7.7059464590000015
bananas,16,"(2, 3, 1, 1, 3, 3)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8861,,,7.729043542000001
bananas,17,"(3, 4, 3, 3, 4, 2)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8831,,,7.9244220840000015
bananas,18,"(2, 3, 4, 0, 4, 0)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8712000000000001,,,7.948810291999999
bananas,19,"(3, 4, 3, 0, 4, 2)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8818,,,7.972716042
bananas,20,"(3, 2, 2, 3, 4, 2)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8898999999999999,,,7.996021791999999
bananas,21,"(4, 3, 0, 1, 0, 3)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8501000000000001,,,14.794309334
bananas,22,"(2, 3, 0, 1, 2, 1)","(2, 3, 0, 1, 2, 1)",99.992,90.3,90.3,9.657959580421448,0.903,,,14.817979
bananas,23,"(3, 3, 0, 1, 3, 1)","(2, 3, 0, 1, 2, 1)",99.992,90.3,90.3,9.657959580421448,0.8718,,,14.841688709000001
bananas,24,"(3, 1, 0, 3, 0, 3)","(2, 3, 0, 1, 2, 1)",99.992,90.3,90.3,9.657959580421448,0.8706,,,14.865073084
bananas,25,"(4, 1, 0, 3, 0, 3)","(2, 3, 0, 1, 2, 1)",99.992,90.3,90.3,9.657959580421448,0.8343,,,14.888457625
bananas,26,"(3, 3, 0, 1, 2, 1)","(2, 3, 0, 1, 2, 1)",99.992,90.3,90.3,9.657959580421448,0.8934000000000001,,,14.912031042
