optimizer,epoch,train_acc,val_acc,test_acc,train_time,wall_time_sec,best_arch
bananas,37,99.984,90.89,90.89,9.424267391363779,20.790006208999998,"(2, 3, 0, 1, 2, 0)"
bananas,38,99.984,90.89,90.89,9.424267391363779,20.790041167,"(2, 3, 0, 1, 2, 0)"
bananas,39,99.984,90.89,90.89,9.424267391363779,20.790074083999997,"(2, 3, 0, 1, 2, 0)"
bananas,40,99.984,90.89,90.89,9.424267391363779,20.790115167000003,"(2, 3, 0, 1, 2, 0)"
bananas,41,99.984,90.89,90.89,9.424267391363779,29.011488417000002,"(2, 3, 0, 1, 2, 0)"
bananas,42,99.984,90.89,90.89,9.424267391363779,29.011546875,"(2, 3, 0, 1, 2, 0)"
bananas,43,99.984,90.89,90.89,9.424267391363779,29.011587,"(2, 3, 0, 1, 2, 0)"
bananas,44,99.984,90.89,90.89,9.424267391363779,29.011622792000004,"(2, 3, 0, 1, 2, 0)"
bananas,45,99.984,90.89,90.89,9.424267391363779,29.011657084,"(2, 3, 0, 1, 2, 0)"
bananas,46,99.984,90.89,90.89,9.424267391363779,29.011691209,"(2, 3, 0, 1, 2, 0)"
bananas,47,99.984,90.89,90.89,9.424267391363779,29.011725500000004,"(2, 3, 0, 1, 2, 0)"
bananas,48,99.984,90.89,90.89,9.424267391363779,29.011760084000002,"(2, 3, 0, 1, 2, 0)"
bananas,49,99.996,90.92,90.92,10.922529677549997,29.011802709,"(2, 0, 0, 4, 2, 2)"
bananas,50,99.996,90.92,90.92,10.922529677549997,29.011844459000002,"(2, 0, 0, 4, 2, 2)"
bananas,51,99.996,90.92,90.92,10.922529677549997,38.010190959,"(2, 0, 0, 4, 2, 2)"
bananas,52,99.996,90.92,90.92,10.922529677549997,38.010245375000004,"(2, 0, 0, 4, 2, 2)"
bananas,53,99.996,90.92,90.92,10.922529677549997,38.010281375,"(2, 0, 0, 4, 2, 2)"
bananas,54,99.996,90.92,90.92,10.922529677549997,38.0103175,"(2, 0, 0, 4, 2, 2)"
bananas,55,99.996,90.92,90.92,10.922529677549997,38.010360459000005,"(2, 0, 0, 4, 2, 2)"
bananas,56,99.996,90.92,90.92,10.922529677549997,38.010398167,"(2, 0, 0, 4, 2, 2)"
bananas,57,99.996,90.92,90.92,10.922529677549997,38.010432375,"(2, 0, 0, 4, 2, 2)"
bananas,58,99.996,90.92,90.92,10.922529677549997,38.010467084,"(2, 0, 0, 4, 2, 2)"
bananas,59,99.996,90.92,90.92,10.922529677549997,38.010505709,"(2, 0, 0, 4, 2, 2)"
bananas,60,99.996,90.92,90.92,10.922529677549997,38.010549792,"(2, 0, 0, 4, 2, 2)"
bananas,61,99.996,90.92,90.92,10.922529677549997,46.302032584,"(2, 0, 0, 4, 2, 2)"
bananas,62,99.996,90.92,90.92,10.922529677549997,46.302087125,"(2, 0, 0, 4, 2, 2)"
bananas,63,99.996,90.92,90.92,10.922529677549997,46.302124875000004,"(2, 0, 0, 4, 2, 2)"
bananas,64,99.996,90.92,90.92,10.922529677549997,46.30216025,"(2, 0, 0, 4, 2, 2)"
bananas,65,99.996,90.92,90.92,10.922529677549997,46.302203625000004,"(2, 0, 0, 4, 2, 2)"
bananas,66,99.996,90.92,90.92,10.922529677549997,46.302245875000004,"(2, 0, 0, 4, 2, 2)"
bananas,67,99.996,90.92,90.92,10.922529677549997,46.302285167,"(2, 0, 0, 4, 2, 2)"
bananas,68,99.996,90.92,90.92,10.922529677549997,46.302321500000005,"(2, 0, 0, 4, 2, 2)"
bananas,69,99.996,90.92,90.92,10.922529677549997,46.302357,"(2, 0, 0, 4, 2, 2)"
bananas,70,99.996,90.92,90.92,10.922529677549997,46.302392334000004,"(2, 0, 0, 4, 2, 2)"
bananas,71,99.996,90.92,90.92,10.922529677549997,56.729702917000004,"(2, 0, 0, 4, 2, 2)"
bananas,72,99.996,90.92,90.92,10.922529677549997,56.7297625,"(2, 0, 0, 4, 2, 2)"
bananas,73,99.996,90.92,90.92,10.922529677549997,56.729807,"(2, 0, 0, 4, 2, 2)"
bananas,74,99.968,90.95,90.95,10.166429122289022,56.729847875,"(2, 0, 1, 2, 2, 0)"
bananas,75,99.968,90.95,90.95,10.166429122289022,56.72988754200001,"(2, 0, 1, 2, 2, 0)"
bananas,76,99.968,90.95,90.95,10.166429122289022,56.72993387500001,"(2, 0, 1, 2, 2, 0)"
bananas,77,99.968,90.95,90.95,10.166429122289022,56.72997216700001,"(2, 0, 1, 2, 2, 0)"
bananas,78,99.968,90.95,90.95,10.166429122289022,56.73001508400001,"(2, 0, 1, 2, 2, 0)"
bananas,79,99.968,90.95,90.95,10.166429122289022,56.730054542,"(2, 0, 1, 2, 2, 0)"
bananas,80,99.968,90.95,90.95,10.166429122289022,56.730095959,"(2, 0, 1, 2, 2, 0)"
bananas,81,99.968,90.95,90.95,10.166429122289022,67.52232079199999,"(2, 0, 1, 2, 2, 0)"
bananas,82,99.968,90.95,90.95,10.166429122289022,67.522373542,"(2, 0, 1, 2, 2, 0)"
bananas,83,99.968,90.95,90.95,10.166429122289022,67.52241475,"(2, 0, 1, 2, 2, 0)"
bananas,84,99.968,90.95,90.95,10.166429122289022,67.52245479199999,"(2, 0, 1, 2, 2, 0)"
bananas,85,99.968,90.95,90.95,10.166429122289022,67.522494959,"(2, 0, 1, 2, 2, 0)"
bananas,86,99.968,90.95,90.95,10.166429122289022,67.522531542,"(2, 0, 1, 2, 2, 0)"
bananas,87,99.968,90.95,90.95,10.166429122289022,67.5225715,"(2, 0, 1, 2, 2, 0)"
bananas,88,99.968,90.95,90.95,10.166429122289022,67.52261145899999,"(2, 0, 1, 2, 2, 0)"
bananas,89,99.968,90.95,90.95,10.166429122289022,67.522651125,"(2, 0, 1, 2, 2, 0)"
bananas,90,99.968,90.95,90.95,10.166429122289022,67.522691375,"(2, 0, 1, 2, 2, 0)"
bananas,91,99.968,90.95,90.95,10.166429122289022,78.15587587499999,"(2, 0, 1, 2, 2, 0)"
bananas,92,99.968,90.95,90.95,10.166429122289022,78.155936042,"(2, 0, 1, 2, 2, 0)"
bananas,93,99.968,90.95,90.95,10.166429122289022,78.15597762499999,"(2, 0, 1, 2, 2, 0)"
bananas,94,99.968,90.95,90.95,10.166429122289022,78.15601687499999,"(2, 0, 1, 2, 2, 0)"
bananas,95,99.968,90.95,90.95,10.166429122289022,78.15605516699999,"(2, 0, 1, 2, 2, 0)"
bananas,96,99.968,90.95,90.95,10.166429122289022,78.15609333399999,"(2, 0, 1, 2, 2, 0)"
bananas,97,99.968,90.95,90.95,10.166429122289022,78.156131084,"(2, 0, 1, 2, 2, 0)"
bananas,98,99.968,90.95,90.95,10.166429122289022,78.156171917,"(2, 0, 1, 2, 2, 0)"
bananas,99,99.968,90.95,90.95,10.166429122289022,78.15622516699999,"(2, 0, 1, 2, 2, 0)"
bananas,100,99.968,90.95,90.95,10.166429122289022,78.15626783399999,"(2, 0, 1, 2, 2, 0)"
